Date,Open,High,Low,Close,Adj Close,Volume
5/10/14,451.899994,455.399994,429.019989,433.230011,433.230011,845213
5/11/14,433.230011,441.070007,430.190002,438.209991,438.209991,610287
5/12/14,438.209991,442.269989,432.73999,433.920013,433.920013,1164049
5/13/14,433.920013,444.279999,433.880005,442.630005,442.630005,978031
5/14/14,442.630005,450.029999,441.470001,448.100006,448.100006,989003
5/15/14,448.100006,455.149994,441.859985,453.630005,453.630005,799913
5/16/14,453.630005,455.940002,452.230011,452.790009,452.790009,776390
5/17/14,452.790009,454,449.040009,450.140015,450.140015,653912
5/18/14,450.140015,451.690002,441.200012,443.899994,443.899994,602742
5/19/14,443.899994,486.230011,437.25,484.570007,484.570007,883359
5/20/14,484.570007,495.209991,481.730011,488.839996,488.839996,689104
5/21/14,488.839996,519.25,485.549988,515.359985,515.359985,1589075
5/22/14,515.359985,540.880005,515.179993,518.090027,518.090027,1457339
5/23/14,518.090027,526.650024,510.420013,520.460022,520.460022,1492790
5/24/14,520.460022,575.190002,520.530029,570.440002,570.440002,1037758
5/25/14,570.440002,586.409973,564.650024,582.01001,582.01001,1712997
5/26/14,582.01001,586.219971,555.280029,570.099976,570.099976,1947436
5/27/14,570.099976,581.809998,562.559998,570.840027,570.840027,2054559
5/28/14,570.840027,573.830017,557.700012,564.419983,564.419983,2121556
5/29/14,564.419983,613.26001,564.02002,612.349976,612.349976,3688564
5/30/14,612.349976,629.039978,604.72998,627.909973,627.909973,2738340
5/31/14,627.909973,674.97998,621.950012,649.789978,649.789978,2322782
6/1/14,649.789978,662.630005,625.460022,655.48999,655.48999,2650871
6/2/14,655.48999,676.469971,631.419983,669.429993,669.429993,2883100
6/3/14,669.429993,669.780029,602.099976,638.929993,638.929993,3601867
6/4/14,638.929993,665.390015,635.590027,660.179993,660.179993,1825395
6/5/14,660.179993,663.840027,647.119995,650.409973,650.409973,3978265
6/6/14,650.409973,659.77002,641.02002,651.669983,651.669983,1298892
6/7/14,651.669983,658.880005,648.669983,651.049988,651.049988,2167689
6/8/14,651.049988,652.119995,639.080017,644.349976,644.349976,2126014
6/9/14,644.349976,661.440002,641.679993,655.619995,655.619995,2340867
6/10/14,655.619995,663.039978,642.280029,642.950012,642.950012,2491455
6/11/14,642.950012,643.799988,591.119995,597.130005,597.130005,2928622
6/12/14,597.130005,619.140015,594.869995,610.349976,610.349976,4612164
6/13/14,610.349976,613.77002,563.679993,583.419983,583.419983,2985483
6/14/14,583.419983,587.830017,560.849976,582.289978,582.289978,2272289
6/15/14,582.289978,606.140015,580.450012,599.080017,599.080017,2403694
6/16/14,599.080017,608.429993,594.859985,605.090027,605.090027,1820590
6/17/14,605.090027,614.400024,603.609985,606.210022,606.210022,2037434
6/18/14,606.210022,612.580017,598.669983,600.169983,600.169983,3433287
6/19/14,600.169983,602.049988,587.099976,590.75,590.75,1312852
6/20/14,590.75,599.210022,584.820007,597.039978,597.039978,1373722
6/21/14,597.039978,610.080017,591.98999,603.619995,603.619995,1240859
6/22/14,603.619995,604.650024,582.859985,591.169983,591.169983,1594834
6/23/14,591.169983,595.650024,585.409973,588.77002,588.77002,1840620
6/24/14,588.77002,589.559998,566.880005,568.450012,568.450012,1797681
6/25/14,568.450012,582.710022,565.849976,582.700012,582.700012,2401035
6/26/14,582.700012,603.940002,580.140015,602.22998,602.22998,2015064
6/27/14,602.22998,608.76001,593.969971,597.559998,597.559998,1778752
6/28/14,597.559998,604.280029,593.190002,601.059998,601.059998,1736172
6/29/14,601.059998,637.280029,596.549988,635.140015,635.140015,2394861
6/30/14,635.140015,652.539978,634.090027,643.190002,643.190002,2675353
7/1/14,643.190002,652.099976,604.580017,645.719971,645.719971,3099761
7/2/14,645.719971,646.400024,633.580017,638.030029,638.030029,2580980
7/3/14,638.030029,642.219971,623.039978,623.960022,623.960022,2291612
7/4/14,623.960022,627.799988,619.690002,622.960022,622.960022,2034965
7/5/14,622.960022,629.440002,622.650024,626.650024,626.650024,1698242
7/6/14,626.650024,627.929993,607.320007,613.599976,613.599976,1590944
7/7/14,613.599976,619.650024,609.349976,615.320007,615.320007,2004899
7/8/14,615.320007,623.820007,610.530029,623,623,1920482
7/9/14,623,624.950012,611.659973,618.390015,618.390015,2253171
7/10/14,618.390015,633.619995,616.109985,632.900024,632.900024,1969199
7/11/14,632.900024,638.590027,625.900024,635.900024,635.900024,2179286
7/12/14,635.900024,638.640015,627.539978,628.030029,628.030029,1082830
7/13/14,628.030029,628.98999,616.059998,618.320007,618.320007,1601572
7/14/14,618.320007,624.419983,617.299988,619.599976,619.599976,2310446
7/15/14,619.599976,622.359985,614.150024,614.799988,614.799988,1873008
7/16/14,614.799988,632.549988,610.01001,626.580017,626.580017,1833775
7/17/14,626.580017,630.150024,617.919983,627.469971,627.469971,2109225
7/18/14,627.469971,634.140015,625.140015,627.039978,627.039978,2505181
7/19/14,627.039978,627.929993,619.960022,620.97998,620.97998,1442853
7/20/14,620.97998,625.929993,615.02002,625.130005,625.130005,1596614
7/21/14,625.130005,628.809998,620,622.530029,622.530029,2068876
7/22/14,622.530029,624.98999,621,621.690002,621.690002,1372935
7/23/14,621.690002,621.960022,599.380005,601.869995,601.869995,2896094
7/24/14,601.869995,609.059998,597.400024,600.5,600.5,3592179
7/25/14,600.5,602.97998,593.25,596,596,2095634
7/26/14,596,601.48999,593.690002,595.030029,595.030029,2118021
7/27/14,595.030029,597.48999,578.140015,587.929993,587.929993,1391966
7/28/14,587.929993,591.280029,579.530029,585.77002,585.77002,3962906
7/29/14,585.77002,586.130005,564.179993,564.640015,564.640015,2397473
7/30/14,564.640015,593.72998,564.01001,589.52002,589.52002,2057947
7/31/14,589.52002,603.98999,586.429993,598.780029,598.780029,5356663
8/1/14,598.780029,598.909973,587.419983,591.719971,591.719971,1278807
8/2/14,591.719971,592.059998,580.619995,588.940002,588.940002,752201
8/3/14,588.940002,595.090027,586.48999,592.77002,592.77002,2047890
8/4/14,592.77002,594.25,585.440002,588.76001,588.76001,2429310
8/5/14,588.76001,593.789978,587.200012,589.77002,589.77002,1785940
8/6/14,589.77002,595.080017,587.919983,592.799988,592.799988,1485017
8/7/14,592.799988,608.200012,592.080017,595.849976,595.849976,1873039
8/8/14,595.849976,595.559998,587.409973,589.52002,589.52002,843722
8/9/14,589.52002,596.640015,588.059998,592.059998,592.059998,796584
8/10/14,592.059998,593.619995,571.719971,575.890015,575.890015,1512262
8/11/14,575.890015,578.289978,561.97998,567.659973,567.659973,1894843
8/12/14,567.659973,573.51001,523.150024,542.099976,542.099976,2659458
8/13/14,542.099976,544.940002,495.940002,504.799988,504.799988,5608470
8/14/14,504.799988,515.23999,483.209991,496.450012,496.450012,2407799
8/15/14,496.450012,524.25,483.23999,522.01001,522.01001,1956441
8/16/14,522.01001,524.710022,478.220001,485.5,485.5,1584568
8/17/14,485.5,493.26001,449.950012,462.179993,462.179993,2991012
8/18/14,462.179993,487.049988,455.799988,485.119995,485.119995,2458098
8/19/14,485.119995,521.840027,468.51001,516.780029,516.780029,2965577
8/20/14,516.780029,537.169983,511.359985,517.940002,517.940002,2974478
8/21/14,517.940002,524.440002,500.570007,516.099976,516.099976,3116862
8/22/14,516.099976,516.820007,493.980011,497.679993,497.679993,1596652
8/23/14,497.679993,514.820007,496.809998,509.709991,509.709991,1294320
8/24/14,509.709991,511.329987,499.709991,502.929993,502.929993,1409621
8/25/14,502.929993,516.039978,501.809998,512.559998,512.559998,1831000
8/26/14,512.559998,527.369995,512.659973,515.22998,515.22998,1982424
8/27/14,515.22998,521.590027,503.339996,510.75,510.75,2307082
8/28/14,510.75,515.179993,506.690002,512.559998,512.559998,1876846
8/29/14,512.559998,512.909973,503.119995,505.959991,505.959991,1337420
8/30/14,505.959991,508.339996,478.309998,481.779999,481.779999,2982601
8/31/14,481.779999,487.470001,471.779999,477.190002,477.190002,3261178
9/1/14,477.190002,486.98999,470.540009,478.940002,478.940002,3291738
9/2/14,478.940002,487.290009,476.820007,480.040009,480.040009,3018772
9/3/14,480.040009,498.470001,476.26001,490.98999,490.98999,4345165
9/4/14,490.98999,495.019989,483.070007,483.649994,483.649994,3013185
9/5/14,483.649994,491.380005,480.790009,484.470001,484.470001,1883095
9/6/14,484.470001,490.720001,478.48999,485.75,485.75,1755360
9/7/14,485.75,487.019989,469.5,475.690002,475.690002,3948928
9/8/14,475.690002,478.600006,467.519989,474.899994,474.899994,3529051
9/9/14,474.899994,491.040009,471.570007,479.700012,479.700012,4058785
9/10/14,479.700012,488.920013,474.570007,478.48999,478.48999,3086920
9/11/14,478.48999,479.709991,471.140015,477.730011,477.730011,2514548
9/12/14,477.730011,480.640015,474.640015,478.170013,478.170013,2569793
9/13/14,478.170013,480.329987,471.959991,477.73999,477.73999,2031789
9/14/14,477.73999,479.279999,473.700012,477.709991,477.709991,2753462
9/15/14,477.709991,478.809998,463.950012,466.75,466.75,3139554
9/16/14,466.75,469.390015,458.269989,461.089996,461.089996,3522262
9/17/14,461.089996,462.26001,408.769989,424.26001,424.26001,3946908
9/18/14,424.26001,429.170013,386.100006,397.670013,397.670013,6062707
9/19/14,397.670013,427.690002,387.5,411.529999,411.529999,5919676
9/20/14,411.529999,415.070007,394.519989,401.619995,401.619995,4229727
9/21/14,401.619995,410.75,398.600006,404.089996,404.089996,5531782
9/22/14,404.089996,445.51001,394.75,436.859985,436.859985,7490861
9/23/14,436.859985,439.190002,422.100006,423.769989,423.769989,9217984
9/24/14,423.769989,427.549988,409.559998,412.290009,412.290009,6143388
9/25/14,412.290009,416.420013,399.700012,404.459991,404.459991,4966479
9/26/14,404.459991,407.070007,394.690002,399.019989,399.019989,3950428
9/27/14,399.019989,402.269989,374.119995,379.079987,379.079987,5453338
9/28/14,379.079987,389.26001,372.630005,376.769989,376.769989,7924759
9/29/14,376.769989,395.179993,374.730011,388.170013,388.170013,6520432
9/30/14,388.170013,395.130005,381.109985,382.839996,382.839996,6892843
10/1/14,382.839996,385.589996,371.200012,375.140015,375.140015,5471103
10/2/14,375.140015,378.220001,362.809998,363.450012,363.450012,6278574
10/3/14,363.450012,369.880005,327.100006,335.320007,335.320007,8050734
10/4/14,335.320007,344.25,294.920013,322.859985,322.859985,9512572
10/5/14,322.859985,347.940002,303.049988,331.549988,331.549988,13642089
10/6/14,331.549988,345.51001,321.73999,331.649994,331.649994,10076018
10/7/14,331.649994,351.640015,325.429993,350.869995,350.869995,7413499
10/8/14,350.869995,384.609985,347.570007,360.910004,360.910004,13020038
10/9/14,360.910004,378.130005,353.320007,361.709991,361.709991,10394856
10/10/14,361.709991,370.149994,350.48999,361.220001,361.220001,5049013
10/11/14,361.220001,374.570007,352.25,373.170013,373.170013,4077867
10/12/14,373.170013,391.220001,366.040009,387.320007,387.320007,8935310
10/13/14,387.320007,407.73999,385.720001,397.100006,397.100006,11549913
10/14/14,397.100006,397.869995,388.230011,393.170013,393.170013,8867207
10/15/14,393.170013,398.839996,371.559998,379.769989,379.769989,7999668
10/16/14,379.769989,384.76001,372.420013,380.480011,380.480011,6324477
10/17/14,380.480011,395.709991,373.579987,390.880005,390.880005,3657801
10/18/14,390.880005,394.48999,383.920013,387.279999,387.279999,2088508
10/19/14,387.279999,387.769989,378.420013,380.390015,380.390015,4075710
10/20/14,380.390015,388.23999,377.420013,382.350006,382.350006,3745779
10/21/14,382.350006,383.690002,376.970001,378.929993,378.929993,4064736
10/22/14,378.929993,381.079987,353.480011,355.779999,355.779999,6999640
10/23/14,355.779999,360.869995,351.410004,355.100006,355.100006,7185001
10/24/14,355.100006,356.570007,341.529999,346.720001,346.720001,4929757
10/25/14,346.720001,356.799988,344.190002,348.670013,348.670013,4076756
10/27/14,348.670013,356.350006,344.929993,350.089996,350.089996,3777108
10/28/14,350.089996,355.720001,348.269989,351.059998,351.059998,3372185
10/29/14,351.059998,352.829987,334.720001,335.119995,335.119995,4259966
10/30/14,335.119995,350.380005,333.440002,344.859985,344.859985,5522262
10/31/14,344.859985,347.970001,336.079987,337.869995,337.869995,4814121
11/1/14,337.869995,339,320.73999,325.429993,325.429993,4540440
11/2/14,325.429993,329.76001,319.809998,322.549988,322.549988,3878749
11/3/14,322.549988,332.850006,321.670013,324.23999,324.23999,4435458
11/4/14,324.23999,328.75,320.109985,327.959991,327.959991,4955240
11/5/14,327.959991,341.980011,326.519989,338.01001,338.01001,5342189
11/6/14,338.01001,351.140015,335.73999,347.670013,347.670013,5388972
11/7/14,347.670013,351.609985,340.179993,341.869995,341.869995,5215262
11/8/14,341.869995,346.290009,339.799988,343.540009,343.540009,2834855
11/9/14,343.540009,362.209991,341.779999,362.040009,362.040009,4466556
11/10/14,362.040009,374.670013,356.600006,367.149994,367.149994,8387025
11/11/14,367.149994,370.98999,361.869995,365.420013,365.420013,5817809
11/12/14,365.420013,442.730011,365.809998,432.029999,432.029999,15737081
11/13/14,432.029999,480.450012,390.880005,428.720001,428.720001,25304725
11/14/14,428.720001,430.179993,381.98999,396.529999,396.529999,14250930
11/15/14,396.529999,407.320007,367.970001,374.859985,374.859985,5185270
11/16/14,374.859985,390.359985,370.540009,385.609985,385.609985,5497204
11/17/14,385.609985,412.329987,378.320007,384.690002,384.690002,10942934
11/18/14,384.690002,394.940002,371.950012,379.160004,379.160004,10404772
11/19/14,379.160004,389.290009,374.26001,381.429993,381.429993,7592152
11/20/14,381.429993,383.029999,355.109985,357.299988,357.299988,8084810
11/21/14,357.299988,358.730011,343.799988,351.769989,351.769989,8291129
11/22/14,351.769989,364.209991,350.51001,352.01001,352.01001,4632290
11/23/14,352.01001,370.589996,352.640015,365.850006,365.850006,4504560
11/24/14,365.850006,388.720001,361.920013,378.850006,378.850006,9244691
11/25/14,378.850006,395.730011,370.640015,376.429993,376.429993,17405251
11/26/14,376.429993,378.269989,363.98999,365.350006,365.350006,8916241
11/27/14,365.350006,374.429993,364.809998,368.829987,368.829987,5144146
11/28/14,368.829987,383.25,358.369995,377.589996,377.589996,16118258
11/29/14,377.589996,389.299988,372.209991,376.279999,376.279999,31983637
11/30/14,376.279999,381.059998,372.570007,374.929993,374.929993,4269105
12/1/14,374.929993,383.579987,373.019989,378.609985,378.609985,7481865
12/2/14,378.609985,384.869995,375.369995,380.640015,380.640015,9664274
12/3/14,380.640015,384.670013,373.640015,376.959991,376.959991,8950322
12/4/14,376.959991,380.429993,366.23999,369.839996,369.839996,9521316
